setMiniGameAfterBG(낮의거리,false,1) playMusic(S6)

지찬우 "그냥... 가자..."changeExpression(지찬우,지찬우_웃음,100)
지찬우 "미안한데 형이 지금 바빠서..." changeExpression(지찬우,지찬우_삐질,100)
남자아이 "끄흐흑...끄흡...흐윽...흑...끕..." changeExpression(남자아이,최은석_글썽,100)
남자아이 "흐...흐엉...흡...끕...엉엉..." changeExpression(남자아이,최은석_글썽,100)
남자아이 "역시...끄흡...흑... 나는..." changeExpression(남자아이,최은석_글썽,100)
남자아이 "흑... 친구가 없어...끕...흑..." changeExpression(남자아이,최은석_글썽,100)
남자아이 "이제 친구 없이 어떻게 놀지..." changeExpression(남자아이,최은석_글썽,100)
남자아이 "끄흑...흡....흑...." changeExpression(남자아이,최은석_글썽,100)
지찬우 "‘참... 모르는 척 지나치려고 하니까’" changeExpression(지찬우,지찬우_삐질,100)
지찬우 "‘마음이 불편하네...’" changeExpression(지찬우,지찬우_삐질,100)
지찬우 "‘하긴 내 인생...’"changeExpression(지찬우,지찬우_지루,100)
지찬우 "‘언제부터 내 뜻대로 움직였다고...’" changeExpression(지찬우,지찬우_씁쓸,100)
지찬우 "‘그냥 놀아주자...’" changeExpression(지찬우,지찬우_씁쓸,100)
지찬우 "휴... 어쩔 수 없지..." changeExpression(지찬우,지찬우_멍때림,100)
지찬우 "넌 이름이 뭐야?" changeExpression(지찬우,지찬우_삐질,100)
지찬우 "형이랑 조금만 놀자..." changeExpression(지찬우,지찬우_웃음,100)
남자아이 "흑....나랑 놀아주는거야 형아?" changeExpression(남자아이,최은석_글썽,100)
최은석 "나는 솔솔 초등학교 1학년 최은석!" changeExpression(최은석,최은석_웃음,100)
최은석 "이 동네에서 제일 잘 생기고" changeExpression(최은석,최은석_웃음,100)
최은석 "친구도 제일 많아!!" changeExpression(최은석,최은석_활짝,100)
지찬우 "이름이 은석이구나..." changeExpression(지찬우,지찬우_삐질,100)
지찬우 "엑... 친구가 제일 많아...?" changeExpression(지찬우,지찬우_깜짝,100)
최은석 "응! 솔솔 초등학교에서" changeExpression(최은석,최은석_활짝,100)
최은석 "나 모르는 사람 없을걸?" changeExpression(최은석,최은석_활짝,100)
지찬우 "그럼 친구랑 놀지 왜 나랑..." changeExpression(지찬우,지찬우_삐질,100)
최은석 "다들 얼마 안 놀아..." changeExpression(최은석,최은석_삐죽,100)
최은석 "엄마가 부른다고 가버리고" changeExpression(최은석,최은석_삐죽,100)
최은석 "태권도 학원 간다 그러고..." changeExpression(최은석,최은석_삐죽,100)
최은석 "그러니까 형은 오늘부터" changeExpression(최은석,최은석_흐음,100)
최은석 "내 1호 방과후 친구가 되는거야!" changeExpression(최은석,최은석_활짝,100)
최은석 "좋지좋지??" changeExpression(최은석,최은석_활짝,100)
지찬우 "우와... 내가 방과후 친구라니..." changeExpression(지찬우,지찬우_헐,100)
지찬우 "방과후 친구는 처음이네..." changeExpression(지찬우,지찬우_삐질,100)
지찬우 "그럼 은석아 우리 뭐 하고 놀까?" changeExpression(지찬우,지찬우_웃음,100)
최은석 "음... 우리 술래잡기 할까?" changeExpression(최은석,최은석_흐음,100)
최은석 "친구들이랑 해보니까" changeExpression(최은석,최은석_웃음,100)
최은석 "재미있더라!!" changeExpression(최은석,최은석_웃음,100)
최은석 "사람이 많을 수록 좋긴 한데..." changeExpression(최은석,최은석_흐음,100)
최은석 "일단 우리 둘이라도 해보자!" changeExpression(최은석,최은석_오잉,100)
지찬우 "어...술래잡기...? 그래..." changeExpression(지찬우,지찬우_삐질,100)
최은석 "내가 먼저 술래다!" changeExpression(최은석,최은석_웃음,100)
최은석 "5! 4! 1! 땡! 잡으러 간다!" changeExpression(최은석,최은석_웃음,100)
지찬우 "‘적당히 잡혀줘야 하나...’" changeExpression(지찬우,지찬우_안도,100)
최은석 "잡았다!!!!!!!!!!!!!!" changeExpression(최은석,최은석_활짝,100)
지찬우 "......?" changeExpression(지찬우,지찬우_헐,100)
최은석 "에이 형!!! 왜 이렇게 느려!!" changeExpression(최은석,최은석_흐음,100)
지찬우 "‘뭐지...?’" changeExpression(지찬우,지찬우_헐,100)
지찬우 "‘내가 이렇게 느리다고...?’" changeExpression(지찬우,지찬우_깜짝,100)
최은석 "이젠 형이 술래! 5초 세고 시작해!" changeExpression(최은석,최은석_웃음,100)
지찬우 "그래...5...4...3...2...1... 간다..." changeExpression(지찬우,지찬우_깜짝,100)
최은석 "하하하 형!! 나 절대 못잡겠다!" changeExpression(최은석,최은석_활짝,100)
최은석 "내 친구들 보다 느려!!!" changeExpression(최은석,최은석_활짝,100)
지찬우 "허억...헉.....헉....." changeExpression(지찬우,지찬우_사망,100)
연애세포 "야야... 너 더 하다가는 죽어." changeExpression(연애세포,연애세포_개싫음,100)


Load(Chapter3_start)
