setMiniGameAfterBG(찬우방_낮,false,1) playMusic(S1)

연애세포 “아무거나” changeExpression(연애세포,연애세포_호탕,100)
지찬우 “난… 아무거나…” changeExpression(지찬우,지찬우_얼빠짐,100)
최은지 “아… 아무거나가 제일 힘든데…” changeExpression(최은지,전화받음,100)
최은지 “네가 뭘 좋아하는지 몰라서…” changeExpression(최은지,전화받음,100)
최은지 “음… 떡볶이 어때…?” changeExpression(최은지,전화받음,100)
지찬우 “떡볶이…? 어…” changeExpression(지찬우,지찬우_삐질,100)
최은지 “아… 싫구나…” changeExpression(최은지,전화받음,100)
지찬우 “미안… 별로 안 떙겨…” changeExpression(지찬우,지찬우_쑥스,100)
지찬우 “매운 걸 자주 먹는 편도 아니라서…” changeExpression(지찬우,지찬우_쑥스,100)
최은지 “그럼… 마제소바는…?” changeExpression(최은지,전화받음,100)
지찬우 “그건 안 먹어봐서 잘…” changeExpression(지찬우,지찬우_삐질,100)
최은지 “하하… 그럼 넌 뭐 좋아하는데?” changeExpression(최은지,전화받음,100)
지찬우 “음… 저기…” changeExpression(지찬우,지찬우_쑥스,100)
지찬우 “국밥… 괜찮아…?” changeExpression(지찬우,지찬우_웃음,100)
최은지 “어…?” changeExpression(최은지,전화받음,100)
연애세포 “야!!!!!!!!!!!!!!!” changeExpression(연애세포,연애세포_버럭,100)
연애세포 “농담이라고 해!! 어서!!” changeExpression(연애세포,연애세포_짜증,100)
지찬우 “나 진짜 국밥 좋아하는데…” changeExpression(지찬우,지찬우_깜짝,100)
지찬우 “그냥 국밥 먹으면 안되나…?” changeExpression(지찬우,지찬우_깜짝,100)
지찬우 “떡볶이 먹을 바에는” changeExpression(지찬우,지찬우_깜짝,100)
지찬우 “그냥 뜨끈-한 국밥 한 그릇” changeExpression(지찬우,지찬우_쑥스,100)
지찬우 “먹는게 좋지… 깍두기 올려 먹으면” changeExpression(지찬우,지찬우_일단동의,100)
지찬우 “진짜 별미인데…” changeExpression(지찬우,지찬우_웃음,100)
연애세포 “아… 모르겠다…” changeExpression(연애세포,연애세포_개싫음,100)
연애세포 “그냥 알아서 해라…” changeExpression(연애세포,연애세포_개싫음,100)
지찬우 “내가 진짜 잘하는 집 알아!” changeExpression(지찬우,지찬우_쑥스,100)
지찬우 “사골 국물이 진짜 죽이는 곳이야.” changeExpression(지찬우,지찬우_쑥스,100)
최은지 “하하하… 찬우는 국밥 좋아하는구나…” changeExpression(최은지,전화받음,100)
지찬우 “국밥만큼 가성비 좋고 든든한게 없지!” changeExpression(지찬우,지찬우_웃음,100)
지찬우 “어때? 거기 종류도 많아.” changeExpression(지찬우,지찬우_쑥스,100)
지찬우 “순대 국밥, 돼지 국밥, 내장 국ㅂ……” changeExpression(지찬우,지찬우_고백,100)
최은지 “아 알겠어… 알겠어 찬우야!” changeExpression(최은지,전화받음,100)
최은지 “가자! 국밥 먹으러…” changeExpression(최은지,전화받음,100)
지찬우 “앗싸! 고마워!” changeExpression(지찬우,지찬우_웃음,100)
최은지 “그래… 네가 행복하면 됐다…” changeExpression(최은지,전화받음,100)
최은지 “그럼 5시에 사거리에서 볼까?” changeExpression(최은지,전화받음,100)
최은지 “밥 먹고 버스킹 구경도 하게!” changeExpression(최은지,전화받음,100)
지찬우 “좋아. 나중에 보자.” changeExpression(지찬우,지찬우_쑥스,100)
최은지 “그래!!” changeExpression(최은지,전화받음,100)

PlaySound(S_6)

지찬우 “어…? 어…?” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “으…은지가…” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “게임 때문도 아니고, changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “락 음악 때문도 아니고…” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “그…그냥 밥을 먹자고…” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “여…연락을…” changeExpression(지찬우,지찬우_어색웃음,100)
연애세포 “축하해 찬우야!” changeExpression(연애세포,연애세포_웃음,100)
연애세포 “이건 너 스스로 쟁취해낸 거야!” changeExpression(연애세포,연애세포_웃음,100)
연애세포 “역시 내 제자야!” changeExpression(연애세포,연애세포_웃음,100)
연애세포 “아주~ 뿌듯해!” changeExpression(연애세포,연애세포_호탕,100)
연애세포 “어서 준비하고 은지 만나러 가자!” changeExpression(연애세포,연애세포_웃음,100)
지찬우 “그래…!” changeExpression(지찬우,지찬우_쑥스,100)

countEnd()
goEnding()
