setMiniGameAfterBG(버스킹,false,1) playMusic(S20)

지찬우 “어... 그게…” changeExpression(지찬우,지찬우_얼빠짐,100)
지찬우 “하하하 그게 아니라~” changeExpression(지찬우,지찬우_얼빠짐,100)
지찬우 “으아아아아아아악” changeExpression(지찬우,지찬우_주륵,100)
지찬우 “‘역시 오늘 이야기하는 건 아니야.’” changeExpression(지찬우,지찬우_얼빠짐,100)
지찬우 “은지야 뭐… 들었어?” changeExpression(지찬우,지찬우_멍때림,100)
최은지 “데이트…라고 했던 것 같은데…?” changeExpression(최은지,최은지_긴장,100)
지찬우 “아…아니 은지야 데… 데이트라니?” changeExpression(지찬우,지찬우_멍때림,100)
지찬우 “잘못 들은 거 아니야??” changeExpression(지찬우,지찬우_지루,100)
최은지 “‘하하… 듣기는 다 들었는데…’” changeExpression(최은지,최은지_헐,100)
지찬우 “데… 데스 메탈!!” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “맞아!!! 데스 메탈 말한 거야!!” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “하하~ 같은 디귿으로 시작해서” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “잘못 들었나 보다~” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “은지도 참~!” changeExpression(지찬우,지찬우_어색웃음,100)
지찬우 “락 정말 좋아하는구나? 하…하하하!!” changeExpression(지찬우,지찬우_어색웃음,100)
최은지 “‘데이트라고… 분명히 들었는데…’” changeExpression(최은지,최은지_헐,100)
최은지 “‘찬우는… 내가 싫은 걸까…?’” changeExpression(최은지,최은지_헐,100)
최은지 “응…! 데스 메탈 좋아하지…!” changeExpression(최은지,최은지_긴장,100)
최은지 “내가 잘못 들었나봐…!” changeExpression(최은지,최은지_긴장,100)
지찬우 “그렇지? 응응… 밥 먹을까 이제…?” changeExpression(지찬우,지찬우_어색웃음,100)
최은지 “그래…밥 먹으러 가자…!” changeExpression(최은지,최은지_긴장,100)
지찬우 “그래………” changeExpression(지찬우,지찬우_주륵,100)
연애세포 “하아… 핑크 빛 기류는 언제 보냐…” changeExpression(연애세포,연애세포_개싫음,100)

countEnd()
goEnding()
